Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,AssessJob1,AssessJob2,AssessJob3,AssessJob4,AssessJob5,AssessJob6,AssessJob7,AssessJob8,AssessJob9,AssessJob10,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,JobContactPriorities1,JobContactPriorities2,JobContactPriorities3,JobContactPriorities4,JobContactPriorities5,JobEmailPriorities1,JobEmailPriorities2,JobEmailPriorities3,JobEmailPriorities4,JobEmailPriorities5,JobEmailPriorities6,JobEmailPriorities7,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy
44,No,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",100 to 499 employees,Back-end developer;Full-stack developer,3-5 years,0-2 years,Moderately satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,I am not interested in new job opportunities,Between 2 and 4 years ago,7,10,8,1,4,5,2,3,6,9,1,5,3,9,10,2,7,8,11,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A recruiter contacted me,U.S. dollars ($),75000,Monthly,9.00E+05,USD,"Slack;Other chat system (IRC, proprietary software, etc.)",Less than a month,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",Immediately after graduating,NA,Strongly agree,Agree,Strongly disagree,C#;JavaScript;SQL;HTML;CSS,C#;Java;JavaScript;Ruby;TypeScript;HTML;CSS,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)","SQL Server;SQLite;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Azure,Arduino;Azure;Raspberry Pi,NA,Angular;.NET Core;Node.js;React;Xamarin,Notepad++;Visual Studio;Visual Studio Code,Windows,2,Agile;Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies);Scrum,Team Foundation Version Control,A few times per week,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website;The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Somewhat disagree,Strongly disagree,Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,3,1,2,7,6,5,4,Increasing automation of jobs,NA,Prominent industry leaders,I'm worried about the dangers more than I'm excited about the possibilities.,Depends on what it is,Depends on what it is,The person who came up with the idea,Unsure / I don't know,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, I know what it is but I don't have one",1,Yes,Somewhat interested,Very interested,Not at all interested,Not at all interested,Somewhat interested,Between 7:01 - 8:00 AM,5 - 8 hours,30 - 59 minutes,1 - 2 times per week,Standing desk,I don't typically exercise,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,25 - 34 years old,No,No,The survey was too long,Very easy
45,Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,6-8 years,3-5 years,Extremely satisfied,Extremely satisfied,Doing the same work,I am not interested in new job opportunities,Between 1 and 2 years ago,2,1,5,7,3,4,10,6,9,8,1,10,3,6,2,4,11,9,5,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Yes,Yes,United Kingdom,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",Fewer than 10 employees,Back-end developer;Front-end developer;Full-stack developer;Mobile developer,9-11 years,6-8 years,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Doing the same work,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A recruiter contacted me,British pounds sterling (£),NA,NA,NA,NA,"Jira;Other chat system (IRC, proprietary software, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software",The technology’s online help system,I already had a full-time job as a developer when I began the program,Because I find it enjoyable,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,C#;Java;JavaScript;PHP;TypeScript;HTML;CSS,C#;Java;JavaScript;PHP;TypeScript;HTML;CSS,MySQL;Google Cloud Storage,NA,Amazon Echo;Mac OS;WordPress;Firebase,Firebase,Angular;React,Angular;React;TensorFlow,NA,MacOS,2,NA,Git,Multiple times per day,Yes,No,NA,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nobody,"I don't care about it, or I haven't thought about it.",Yes,No,The developer who wrote it,No,5,A few times per month or weekly,Yes,Less than once per month or monthly,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",NA,I'm not sure,Extremely interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Between 5:00 - 6:00 AM,9 - 12 hours,30 - 59 minutes,1 - 2 times per week,NA,I don't typically exercise,NA,NA,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Black or of African descent;East Asian;Hispanic or Latino/Latina;Middle Eastern;Native American, Pacific Islander, or Indigenous Australian;South Asian;White or of European descent",35 - 44 years old,Yes,NA,The survey was too long,Neither easy nor difficult
47,No,No,Poland,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Engineering manager,3-5 years,3-5 years,Slightly satisfied,Slightly satisfied,Doing the same work,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,7,8,9,4,2,6,1,3,10,5,1,9,4,5,6,11,7,3,8,10,2,5,2,4,1,3,6,7,4,3,1,2,5,I had a negative experience or interaction at work,Polish złoty (zł),8500,Monthly,30000,PLN,Confluence;Jira;Slack,Less than a month,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees;Pre-scheduled tutoring or mentoring sessions with a friend or colleague;Tapping your network of friends, family, and peers versed in the technology",NA,NA,Agree,Neither Agree nor Disagree,Disagree,Python;SQL;HTML;Bash/Shell,Erlang;Go;JavaScript;Rust,MongoDB;Redis;MySQL;PostgreSQL,Memcached;Elasticsearch,Linux,Heroku;Raspberry Pi,Django,React;TensorFlow,IPython / Jupyter;Sublime Text;Vim,Linux-based,2,Agile;Kanban;Pair programming;Scrum,Git,Once a day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Strongly agree,Somewhat agree,Somewhat disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,1,2,3,5,7,4,6,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,A governmental or other regulatory body,I'm worried about the dangers more than I'm excited about the possibilities.,No,Depends on what it is,Upper management at the company/organization,Yes,10 (Very Likely),Daily or almost daily,Yes,A few times per month or weekly,Yes,"No, I have one but it's out of date",5,I'm not sure,Not at all interested,Somewhat interested,Very interested,Extremely interested,Extremely interested,Between 6:01 - 7:00 AM,9 - 12 hours,30 - 59 minutes,Never,Ergonomic keyboard or mouse,I don't typically exercise,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,25 - 34 years old,No,NA,The survey was an appropriate length,Somewhat easy
50,Yes,Yes,Sweden,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Front-end developer;Full-stack developer,9-11 years,6-8 years,Slightly satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,3,1,10,6,8,7,9,2,5,4,3,10,4,1,6,9,11,5,2,7,8,2,1,4,5,3,6,5,7,4,3,1,2,My job status or other personal status changed,Swedish kroner (SEK),NA,Monthly,NA,SEK,Confluence;HipChat;Jira;Slack,One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",NA,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To build my professional network;Because I find it enjoyable",Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Java;JavaScript;PHP;SQL;Swift;TypeScript;HTML;CSS;Bash/Shell,Go;JavaScript;Python;Rust;Swift;TypeScript;Kotlin;Ocaml;HTML;CSS,MySQL;PostgreSQL,MongoDB;Redis;PostgreSQL;Memcached;Google Cloud Storage;Elasticsearch,Android;AWS;Heroku;iOS;Linux;Mac OS;Firebase,Arduino;AWS;iOS;Mac OS;Firebase,Angular;Node.js;React;Spring,Node.js;React;TensorFlow,Android Studio;Atom;IntelliJ;Sublime Text;Visual Studio Code;Xcode,MacOS,2,Agile;Extreme programming (XP);Kanban;Lean;Pair programming;Scrum,Git,Multiple times per day,Yes,Yes,The ad-blocking software was causing display issues on a website;The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Somewhat agree,Somewhat agree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad),3,4,2,1,6,7,5,Algorithms making important decisions,Increasing automation of jobs,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,Upper management at the company/organization,Yes,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,Yes,Yes,7,I'm not sure,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Between 8:01 - 9:00 AM,9 - 12 hours,30 - 59 minutes,Never,Standing desk;Fatigue-relieving floor mat,1 - 2 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,No,NA,The survey was an appropriate length,Very easy
51,Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Web development or web design,500 to 999 employees,Back-end developer;Designer;Front-end developer;Full-stack developer;Marketing or sales professional;Mobile developer,6-8 years,0-2 years,Extremely dissatisfied,Moderately satisfied,Doing the same work,I am not interested in new job opportunities,Between 1 and 2 years ago,4,2,5,3,1,8,9,6,7,10,1,4,2,10,6,3,8,5,11,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My job status or other personal status changed,U.S. dollars ($),44000,Yearly,44000,USD,"Office / productivity suite (Microsoft Office, Google Suite, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course",Questions & answers on Stack Overflow;The technology’s online help system,NA,NA,Agree,Disagree,Agree,Java;JavaScript;Objective-C;PHP;SQL;Swift;HTML;CSS;Bash/Shell,Assembly;C;C++;Java;JavaScript;PHP;Python;SQL;Swift;HTML;CSS,SQL Server;MySQL,SQL Server;MySQL;Oracle,Drupal;iOS;WordPress,iOS;Salesforce;SharePoint;WordPress,NA,Angular;Node.js;React,Atom;Notepad++;Xcode,MacOS,2,NA,Git;Zip file back-ups,Less than once per month,No,NA,NA,Somewhat disagree,Strongly disagree,Strongly agree,Stopped going to a website because of their advertising,1,6,3,2,7,5,4,Increasing automation of jobs,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",The developers or the people creating the AI,I'm worried about the dangers more than I'm excited about the possibilities.,Yes,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),A few times per week,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",10 (Very Likely),Yes,Very interested,Very interested,Very interested,A little bit interested,Somewhat interested,Between 5:00 - 6:00 AM,5 - 8 hours,30 - 59 minutes,Never,Standing desk;Fatigue-relieving floor mat,Daily or almost every day,Female,Straight or heterosexual,Associate degree,White or of European descent,18 - 24 years old,No,No,The survey was an appropriate length,Very easy
52,No,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Full-stack developer,3-5 years,3-5 years,Moderately dissatisfied,Moderately satisfied,Doing the same work,I am actively looking for a job,Between 1 and 2 years ago,10,8,6,5,1,4,3,2,7,9,1,9,2,4,11,3,10,8,6,5,7,3,1,5,2,4,1,7,4,3,2,5,6,I had a negative experience or interaction at work,U.S. dollars ($),60000,Yearly,60000,USD,"Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,NA,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To build my professional network;To help me find new job opportunities",Agree,Neither Agree nor Disagree,Agree,JavaScript;PHP;HTML;CSS,NA,PostgreSQL,MongoDB,NA,Google Home;WordPress,Angular;Node.js,Angular;Node.js;React,PHPStorm;Sublime Text,MacOS,2,Agile,Git,A few times per week,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website;The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Somewhat agree,Strongly disagree,Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising;Paid to access a website advertisement-free,5,3,6,2,4,1,7,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,The developers or the people creating the AI,I'm worried about the dangers more than I'm excited about the possibilities.,No,Depends on what it is,The person who came up with the idea,Yes,10 (Very Likely),A few times per month or weekly,No,NA,"No, I didn't know that Stack Overflow had a jobs board",NA,NA,No,Extremely interested,Very interested,A little bit interested,Somewhat interested,Somewhat interested,Between 8:01 - 9:00 AM,9 - 12 hours,Less than 30 minutes,1 - 2 times per week,NA,I don't typically exercise,Female,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,25 - 34 years old,No,No,The survey was an appropriate length,Very easy
53,Yes,No,Poland,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Designer,18-20 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software",NA,NA,To improve my general technical skills or programming ability;To improve my ability to work on a team with other programmers;Because I find it enjoyable,Agree,Strongly agree,Disagree,C;C++;C#;Java;JavaScript;Lua;Objective-C;PHP;Python;Ruby;Scala;SQL;Swift;TypeScript;HTML;CSS;Bash/Shell,Go;Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,"MongoDB;Redis;SQL Server;MySQL;PostgreSQL;MariaDB;Amazon DynamoDB;Amazon RDS/Aurora;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",Amazon DynamoDB;Amazon RDS/Aurora,Android;AWS;Azure;Google Cloud Platform/App Engine;Serverless,Amazon Echo;AWS;Azure;Serverless,Angular;Node.js,Django;Node.js;React;TensorFlow,Atom;PyCharm;Visual Studio;Visual Studio Code,Windows,2,Agile,Git,Multiple times per day,Yes,Yes,I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Neither agree nor disagree,Strongly disagree,Clicked on an online advertisement;Stopped going to a website because of their advertising,1,4,2,5,6,7,3,Increasing automation of jobs,NA,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,The person who came up with the idea,Yes,10 (Very Likely),Multiple times per day,Yes,Multiple times per day,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",NA,Yes,Somewhat interested,Not at all interested,Somewhat interested,Very interested,Very interested,Between 6:01 - 7:00 AM,9 - 12 hours,Less than 30 minutes,1 - 2 times per week,Ergonomic keyboard or mouse,3 - 4 times per week,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,35 - 44 years old,Yes,NA,The survey was an appropriate length,Very easy
54,Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Database administrator;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer,12-14 years,6-8 years,Moderately satisfied,Moderately satisfied,Working as an engineering manager or other functional manager,I am not interested in new job opportunities,More than 4 years ago,5,4,2,9,1,3,10,8,7,6,2,3,1,6,7,4,9,10,5,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A friend told me about a job opportunity,U.S. dollars ($),80000,Yearly,80000,USD,"Google Hangouts/Chat;Slack;Other chat system (IRC, proprietary software, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)",Six to nine months,"Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software",The official documentation and/or standards for the technology,NA,NA,Agree,Agree,Disagree,C;C++;Java;JavaScript;PHP;Python;Ruby;SQL;Bash/Shell,Erlang;Go,PostgreSQL,PostgreSQL,Linux,Android;Google Home;Linux;Raspberry Pi,React,NA,Android Studio;Vim,Linux-based,2,Agile;Evidence-based software engineering;Pair programming;Scrum,Git;Mercurial;Subversion,Multiple times per day,Yes,No,NA,Strongly disagree,Strongly disagree,Strongly agree,Stopped going to a website because of their advertising,5,2,3,6,1,4,7,NA,Increasing automation of jobs,Nobody,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,3,A few times per week,No,NA,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",NA,NA,No,Not at all interested,Not at all interested,Not at all interested,A little bit interested,Not at all interested,Between 7:01 - 8:00 AM,5 - 8 hours,30 - 59 minutes,Daily or almost every day,NA,Daily or almost every day,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,25 - 34 years old,Yes,No,The survey was too long,Somewhat difficult
55,Yes,Yes,United Kingdom,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Front-end developer;Full-stack developer,9-11 years,3-5 years,Extremely satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,I am not interested in new job opportunities,Less than a year ago,8,9,10,3,1,6,4,2,5,7,1,3,9,11,5,7,4,2,8,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My job status or other personal status changed,British pounds sterling (£),NA,NA,NA,NA,Slack;Trello,Less than a month,"Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",NA,To win prizes or cash awards;Because I find it enjoyable,Agree,Disagree,Disagree,C++;F#;Java;JavaScript;SQL;HTML;CSS;Bash/Shell,C++;Clojure;F#;JavaScript;HTML,MongoDB;Redis;PostgreSQL,NA,AWS;Linux;Mac OS;Serverless,Linux;Mac OS;Serverless,.NET Core;Node.js;React,Node.js;React,Atom;Eclipse;Visual Studio Code,MacOS,1,Agile,Git,Multiple times per day,Yes,I'm not sure/I can't remember,NA,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Stopped going to a website because of their advertising,2,5,6,1,4,3,7,"Artificial intelligence surpassing human intelligence (""the singularity"")","Artificial intelligence surpassing human intelligence (""the singularity"")",The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,Daily or almost daily,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",NA,Yes,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Between 7:01 - 8:00 AM,9 - 12 hours,30 - 59 minutes,Never,NA,Daily or almost every day,Male,Bisexual or Queer,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,No,NA,The survey was an appropriate length,Somewhat easy
56,Yes,No,Belgium,"Yes, part-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",NA,20 to 99 employees,Back-end developer;Database administrator;Front-end developer;Full-stack developer;Mobile developer,6-8 years,3-5 years,Slightly dissatisfied,Slightly dissatisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,10,9,8,4,1,5,2,3,7,6,1,6,10,9,7,8,5,4,11,3,2,4,1,5,2,3,5,3,6,1,2,4,7,My job status or other personal status changed,Euros (€),2600,NA,NA,EUR,"Facebook;Office / productivity suite (Microsoft Office, Google Suite, etc.);Trello",Three to six months,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow",I already had a full-time job as a developer when I began the program,NA,Strongly agree,Agree,Neither Agree nor Disagree,C#;Java;JavaScript;PHP;SQL;TypeScript;HTML;CSS,C#;JavaScript;SQL;TypeScript;HTML;CSS,SQL Server;PostgreSQL,SQL Server;PostgreSQL,Android;Raspberry Pi,Android;Raspberry Pi,Angular;.NET Core;Xamarin,Angular;.NET Core;Node.js;React;Xamarin,Android Studio;Notepad++;Visual Studio;Visual Studio Code,Windows,2,Agile;Lean;Scrum,Git,A few times per week,Yes,No,NA,Somewhat agree,Strongly agree,Somewhat agree,Saw an online advertisement and then researched it (without clicking on the ad),2,3,1,6,5,7,4,Algorithms making important decisions,Increasing automation of jobs,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, and publicly",Upper management at the company/organization,Yes,10 (Very Likely),Daily or almost daily,I'm not sure / I can't remember,NA,"No, I didn't know that Stack Overflow had a jobs board",NA,NA,No,Somewhat interested,Very interested,Very interested,Extremely interested,Somewhat interested,Between 7:01 - 8:00 AM,9 - 12 hours,30 - 59 minutes,1 - 2 times per week,NA,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,Yes,NA,The survey was too long,Somewhat easy
57,Yes,Yes,Argentina,"Yes, part-time",Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data or business analyst;Designer;Front-end developer;Game or graphics developer;Mobile developer;Student,0-2 years,0-2 years,Neither satisfied nor dissatisfied,Extremely dissatisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
